Image_Path,Left,Right,Label
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-527.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-214.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-777.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-583.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-280.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-700.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-244.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-226.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-590.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-881.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-165.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-392.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-496.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-465.jpg,220,-165,"220,-165"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-201.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-970.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-775.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-423.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-802.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-455.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-199.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-256.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-698.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-912.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-388.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-975.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-513.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-215.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-225.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1045.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1037.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-708.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-378.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-937.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-664.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-470.jpg,220,-165,"220,-165"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-825.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-406.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-293.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-355.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-630.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-556.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-754.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-671.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-547.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1105.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-776.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-973.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-577.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-852.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-697.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-489.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-501.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-297.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-494.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-853.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1059.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1058.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-265.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-408.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1081.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-942.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-712.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-384.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-891.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-257.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-659.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-775.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-409.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-988.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-592.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-495.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1109.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-850.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-952.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-776.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1042.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-171.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-252.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-210.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1116.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-275.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-798.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-555.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-174.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-679.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-823.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-729.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-795.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-958.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1038.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-448.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-530.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-273.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-497.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-407.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-527.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-567.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-393.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-729.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1002.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-994.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-481.jpg,220,-165,"220,-165"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-625.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1046.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1054.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-1051.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-673.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-274.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-510.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-728.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-905.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-392.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-856.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-930.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-332.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-631.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-604.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-254.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-420.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-539.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-208.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-333.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-768.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-341.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-399.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-442.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-815.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-357.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-628.jpg,220,220,"220,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-443.jpg,-165,220,"-165,220"
C:\Users\robot\Meritus-CVPRO-main\Training_Process\Training_Data/Dataset_CVPRO\Autonomous_Driving\20240215_124246\20240215_124232/Process_Image/Image-839.jpg,220,220,"220,220"
